CIC_OEM_VERS 	= 2.0
CREATION_DATE  	= 2023-06-06T17:32:35Z
ORIGINATOR     	= e.NOVA

META_START

OBJECT_NAME 	= ['OPS', '3367', 'B']
OBJECT_ID 	= ['OPS', '3367', 'B']

CENTER_NAME 	= EARTH
REF_FRAME   	= EME2000
TIME_SYSTEM 	= UTC

META_STOP

59945 36480.0	4611.076555173918 4408.083397084042 -3310.4909884631056 -1.5276217614448644 -3.2907783343211223 -6.497620195005709
59945 36490.0	4595.516903996434 4374.892174912889 -3375.39864511465 -1.5771277939419936 -3.338016390109958 -6.461663556008079
59945 36500.0	4579.462514687391 4341.230055180183 -3439.941614959212 -1.6264640952214653 -3.384895381531041 -6.4250104450610115
59945 36510.0	4562.915135621757 4307.100684106189 -3504.112933019379 -1.6756253588514207 -3.431410264283634 -6.387664805572203
59945 36520.0	4545.876568565218 4272.507758439105 -3567.9056749835718 -1.7246062972572078 -3.477556033222193 -6.349630655453248
59945 36530.0	4528.348668479244 4237.455025061138 -3631.3129579319148 -1.7734016422687056 -3.523327722874824 -6.310912086704158
59945 36540.0	4510.333343297547 4201.946280543368 -3694.3279411409185 -1.8220061457297667 -3.5687204080178567 -6.271513264939501
59945 36550.0	4491.832553726983 4165.985370756174 -3756.9438267718765 -1.870414580019841 -3.6137292041655504 -6.231438428973846
59945 36560.0	4472.848313019941 4129.576190428466 -3819.1538606379336 -1.9186217386376674 -3.6583492681158223 -6.190691890348915
59945 36570.0	4453.382686749983 4092.7226827199365 -3880.9513329326915 -1.9666224367569345 -3.702575798467368 -6.149278032873086
59945 36580.0	4433.437792580221 4055.428838784903 -3942.329578959363 -2.01441151178396 -3.7464040361363518 -6.107201312149735
59945 36590.0	4413.015800025974 4017.698697330949 -4003.2819798546757 -2.061983823912915 -3.789829264868479 -6.064466255097889
59945 36600.0	4392.11893021168 3979.5363441723644 -4063.8019633076183 -2.1093342566786424 -3.832846811746542 -6.021077459465161
59945 36610.0	4370.749455622164 3940.9459117784418 -4123.883004272763 -2.1564577175069175 -3.875452047693227 -5.977039593333126
59945 36620.0	4348.909699848228 3901.931578816701 -4183.518625678283 -2.203349138262179 -3.9176403879692794 -5.932357394615059
59945 36630.0	4326.602037326651 3862.4975696910833 -4242.702399128395 -2.250003475792597 -3.959407292666853 -5.887035670546216
59945 36640.0	4303.828893074599 3822.6481540751624 -4301.427945600279 -2.296415712472458 -4.000748267198037 -5.841079297166644
59945 36650.0	4280.592742418472 3782.387646440442 -4359.688936135386 -2.342580856741835 -4.041658862778559 -5.79449321879655
59945 36660.0	4256.896110719343 3741.720405583424 -4417.479092519887 -2.388493943639345 -4.08213467690296 -5.74728244750857
59945 36670.0	4232.741573080331 3700.650834126246 -4474.792187989739 -2.4341500353562777 -4.122171353836044 -5.699452062567644
59945 36680.0	4208.131754079985 3659.1833780664833 -4531.622047854062 -2.4795442217274233 -4.161764585046288 -5.651007209926273
59945 36690.0	4183.069327458288 3617.3225262504698 -4587.962550213595 -2.5246716207993307 -4.200910109704832 -5.601953101629162
59945 36700.0	4157.557015828802 3575.0728098957993 -4643.807626597363 -2.5695273793352578 -4.239603715126324 -5.552295015273352
59945 36710.0	4131.597590375103 3532.43880209148 -4699.151262618789 -2.6141066733372416 -4.277841237222509 -5.502038293440636
59945 36720.0	4105.193870530317 3489.4251172746754 -4753.987498649473 -2.6584047085843405 -4.31561856096697 -5.451188343100662
59945 36730.0	4078.3487236857654 3446.036410759237 -4808.310430414411 -2.7024167211093135 -4.352931620804709 -5.399750635073474
59945 36740.0	4051.0650648485102 3402.277378184821 -4862.1142096774165 -2.746137977749889 -4.389776401122967 -5.347730703396628
59945 36750.0	4023.3458563281283 3358.152755017978 -4915.393044847749 -2.789563776638282 -4.426148936666724 -5.295134144751978
59945 36760.0	3995.1941074070587 3313.667316030307 -4968.141201604718 -2.832689447707013 -4.4620453129656585 -5.241966617863756
59945 36770.0	3966.612873993219 3268.825874752739 -5020.353003538495 -2.875510353209939 -4.49746166677105 -5.188233842866378
59945 36780.0	3937.6052583048413 3223.6332829843554 -5072.022832715398 -2.9180218881833317 -4.5323941864403094 -5.133941600735858
59945 36790.0	3908.1744085005857 3178.094430218819 -5123.1451303284975 -2.960219480978779 -4.566839112378431 -5.079095732621012
59945 36800.0	3878.3235183419242 3132.2142431255243 -5173.714397272556 -3.0020985937359734 -4.600792737427021 -5.023702139238439
59945 36810.0	3848.055826838367 3085.997685007365 -5223.725194735417 -3.0436547228708433 -4.634251407263488 -4.967766780237921
59945 36820.0	3817.3746178742604 3039.4497552341127 -5273.172144804102 -3.0848833995780014 -4.667211520808881 -4.911295673536622
59945 36830.0	3786.283219870755 2992.5754887329617 -5322.049930998668 -3.125780190275028 -4.699669530586389 -4.8542948947208835
59945 36840.0	3754.785005389594 2945.3799553939994 -5370.35329888624 -3.166340697115514 -4.73162194313224 -4.796770576343324
59945 36850.0	3722.883390774972 2897.8682595371124 -5418.077056618541 -3.2065605584403505 -4.763065319354432 -4.738728907292771
59945 36860.0	3690.5818357606518 2850.0455393300354 -5465.216075509269 -3.246435449264436 -4.793996274916759 -4.680176132103122
59945 36870.0	3657.8838431001573 2801.9169662442982 -5511.765290562338 -3.2859610817240856 -4.824411480589215 -4.621118550306801
59945 36880.0	3624.7929581788494 2753.4877444872427 -5557.719701014371 -3.3251332055383815 -4.854307662606738 -4.5615625157575215
59945 36890.0	3591.31276860656 2704.76311040908 -5603.074370889827 -3.3639476084834987 -4.883681603034854 -4.501514435920615
59945 36900.0	3557.446903834628 2655.7483319489747 -5647.8244295082 -3.402400116828394 -4.912530140102807 -4.440980771209712
59945 36910.0	3523.1990347392207 2606.4487080352183 -5691.965072023871 -3.4404865958005404 -4.940850168556626 -4.379968034265258
59945 36920.0	3488.57287322973 2556.8695680250016 -5735.491559919092 -3.4782029500136002 -4.968638639980656 -4.318482789280235
59945 36930.0	3453.5721718383884 2507.0162711198645 -5778.399221509744 -3.515545123908116 -4.995892563126129 -4.256531651294398
59945 36940.0	3418.2007232899255 2456.894205755966 -5820.683452462008 -3.5525091022040662 -5.022609004245223 -4.194121285455492
59945 36950.0	3382.4623600974446 2406.5087890349528 -5862.339716263559 -3.589090910316133 -5.048785087394814 -4.131258406329236
59945 36960.0	3346.360954123241 2355.8654661079804 -5903.363544724512 -3.625286614797242 -5.0744179947576455 -4.067949777149443
59945 36970.0	3309.9004161665957 2304.969709600987 -5943.750538433824 -3.6610923237453328 -5.099504966934069 -4.004202209117882
59945 36980.0	3273.084695532134 2253.8270190152484 -5983.496367227012 -3.696504187222197 -5.124043303239584 -3.940022560671831
59945 36990.0	3235.9177795777514 2202.442920102617 -6022.59677066307 -3.731518397683055 -5.148030362006436 -3.8754177367181613
59945 37000.0	3198.4036932906197 2150.822964282832 -6061.04755845843 -3.7661311903703196 -5.17146356085714 -3.8103946879185235
59945 37010.0	3160.5464988267336 2098.9727280132065 -6098.844610947664 -3.8003388437336603 -5.194340376992889 -3.7449604099130887
59945 37020.0	3122.3502950793522 2046.897812200993 -6135.983879502239 -3.8341376798148796 -5.216658347454744 -3.6791219425963657
59945 37030.0	3083.819217227395 1994.6038415908254 -6172.461386958931 -3.8675240646437192 -5.238415069389313 -3.612886369360117
59945 37040.0	3044.957436266395 1942.0964641313553 -6208.273228052672 -3.900494408640414 -5.2596082003152675 -3.5462608163082243
59945 37050.0	3005.769158548722 1889.3813503575368 -6243.41556982779 -3.933045167001311 -5.280235458375063 -3.4792524514896166
59945 37060.0	2966.258625337545 1836.4641927940095 -6277.8846520261495 -3.9651728400655712 -5.300294622571448 -3.4118684841564253
59945 37070.0	2926.4301123228643 1783.350705310058 -6311.6767874983425 -3.9968739737058336 -5.3197835330157925 -3.344116163959026
59945 37080.0	2886.287929168464 1730.0466225188075 -6344.7883625761715 -4.0281451596855735 -5.338700091151974 -3.27600278019571
59945 37090.0	2845.8364190205266 1676.5576991278717 -6377.215837466883 -4.058983036039512 -5.357042259991022 -3.207535660998832
59945 37100.0	2805.079958029852 1622.8897093110777 -6408.955746623618 -4.0893842874347 -5.374808064329963 -3.1387221725460672
