CIC_OEM_VERS 	= 2.0
CREATION_DATE  	= 2023-06-06T17:32:35Z
ORIGINATOR     	= e.NOVA

META_START

OBJECT_NAME 	= ['OPS', '3367', 'A']
OBJECT_ID 	= ['OPS', '3367', 'A']

CENTER_NAME 	= EARTH
REF_FRAME   	= EME2000
TIME_SYSTEM 	= UTC

META_STOP

59945 36500.0	-2802.4287899825194 -2174.310015361093 6247.473578247317 3.392202253396048 5.63442777368006 3.4848467313978038
59945 36510.0	-2768.2866149724496 -2117.7470985904397 6282.05122902808 3.4221907281621347 5.6575492129426594 3.4173706649550635
59945 36520.0	-2733.845769463329 -2060.9552154082717 6315.95114506573 3.4518097345757086 5.680060200494701 3.3495259965371824
59945 36530.0	-2699.109980243955 -2003.9405103369618 6349.169651782167 3.4810560838824536 5.701958309310754 3.2813200361242854
59945 36540.0	-2664.08300620817 -1946.7091522391647 6381.703148644132 3.509926627487774 5.723241178385267 3.2127601326301893
59945 36550.0	-2628.7686379370093 -1889.2673336315863 6413.548109566233 3.538418257300886 5.743906512990969 3.1438536730986
59945 36560.0	-2593.1706972989523 -1831.6212700313051 6444.7010832860415 3.5665279060570505 5.76395208491737 3.074608081937465
59945 36570.0	-2557.293036996896 -1773.7771992188032 6475.158693774892 3.5942525476749587 5.783375732730508 3.0050308200524065
59945 36580.0	-2521.1395401895275 -1715.7413806246127 6504.917640571846 3.6215891975480505 5.8021753619814405 2.9351293841277375
59945 36590.0	-2484.7141200280475 -1657.520094582174 6533.974699179753 3.648534912895092 5.8203489454527695 2.8649113057457636
59945 36600.0	-2448.0207192587773 -1599.1196416898006 6562.326721394445 3.675086793053049 5.837894523360777 2.794384150636481
59945 36610.0	-2411.063309752367 -1540.5463420582976 6589.970635681725 3.7012419798174725 5.854810203585604 2.723555517788459
59945 36620.0	-2373.8458921131773 -1481.8065346892706 6616.9034474807895 3.7269976577176225 5.871094161853756 2.652433038716599
59945 36630.0	-2336.3724952049665 -1422.9065767233226 6643.12223956091 3.7523510543450103 5.886744641951556 2.581024376571795
59945 36640.0	-2298.6471757249797 -1363.8528427681836 6668.624172330157 3.777299440640254 5.90175995590704 2.5093372253461967
59945 36650.0	-2260.674017752273 -1304.6517241889414 6693.406484152242 3.8018401311913066 5.916138484174703 2.437379309031756
59945 36660.0	-2222.4571323128125 -1245.3096284274375 6717.466491641512 3.8259704845139386 5.929878675805241 2.3651583808131913
59945 36670.0	-2184.000656908303 -1185.8329782679934 6740.801589970782 3.8496879033489613 5.9429790486203755 2.2926822221948044
59945 36680.0	-2145.3087550753057 -1126.228211153301 6763.409253148644 3.872989834933127 5.955438189367662 2.219958642187266
59945 36690.0	-2106.3856159213956 -1066.5017784674349 6785.287034300807 3.8958737712780893 5.9672547538752205 2.146995476453491
59945 36700.0	-2067.2354536823414 -1006.6601448540378 6806.432565929057 3.9183372494303343 5.978427467191758 2.073800586496437
59945 36710.0	-2027.8625072216928 -946.7097874490698 6826.843560191404 3.9403778517581185 5.988955123735053 2.0003818587415467
59945 36720.0	-1988.2710396133073 -886.6571952432956 6846.51780912674 3.9619932061840597 5.998836587408362 1.926747203776814
59945 36730.0	-1948.4653376318915 -826.5088683070549 6865.453184918319 3.983180986463807 6.00807079173436 1.8529045554233772
59945 36740.0	-1908.4497113168327 -766.271317129351 6883.647640109231 4.003938912417453 6.016656739961602 1.7788618699451484
59945 36750.0	-1868.2284934568831 -705.9510618399788 6901.099207845742 4.024264750197007 6.024593505181519 1.7046271251138823
59945 36760.0	-1827.8060391632746 -645.5546315676789 6917.806002069674 4.0441563125013245 6.031880230417961 1.6302083194403822
59945 36770.0	-1787.1867253526955 -585.08856366539 6933.76621774141 4.06361145883137 6.038516128727807 1.555613471241291
59945 36780.0	-1746.3749502840415 -524.559403019091 6948.978131028705 4.082628095711539 6.044500483282321 1.4808506178076475
59945 36790.0	-1705.375133068082 -463.9737013187778 6963.440099497026 4.101204176918353 6.049832647445767 1.4059278145257887
59945 36800.0	-1664.1917131999871 -403.3380163659268 6977.150562281802 4.119337703692575 6.054512044843075 1.3308531340423153
59945 36810.0	-1622.8291500319242 -342.6589112952731 6990.108040271191 4.137026724971903 6.0585381694268445 1.255634665321968
59945 36820.0	-1581.2919223336285 -281.94295392883737 7002.311136249449 4.154269337578644 6.061910585526351 1.1802805128681457
59945 36830.0	-1539.5845277569092 -221.19671599133085 7013.758535061854 4.171063686443275 6.064628927899191 1.104798795770677
59945 36840.0	-1497.7114823778898 -160.426772442142 7024.449003745868 4.187407964788902 6.066692901767895 1.0291976468970492
59945 36850.0	-1455.6773201568767 -99.63970068987533 7034.381391675489 4.203300414343121 6.068102282854453 0.9534852119366712
59945 36860.0	-1413.4865924915894 -38.84207994516919 7043.55463067155 4.218739325507101 6.0688569174021625 0.8776696486159925
59945 36870.0	-1371.1438676766797 21.959509559839944 7051.967735126024 4.233723037555112 6.068956722194176 0.8017591257465984
59945 36880.0	-1328.6537304202093 82.75848726686263 7059.619802102483 4.248249938806108 6.068401684561926 0.7257618223782143
59945 36890.0	-1286.0207813325396 143.54827302405783 7066.510011433302 4.2623184667997 6.0671918623867 0.6496859269041728
59945 36900.0	-1243.2496364358383 204.3222877866324 7072.637625803811 4.275927108459316 6.065327384094103 0.5735396362057643
59945 36910.0	-1200.3449266345829 265.0739543704392 7078.001990833155 4.289074400262348 6.062808448639787 0.49733115472911726
59945 36920.0	-1157.3112972217466 325.7966981521197 7082.602535139756 4.301758928392533 6.059635325488601 0.4210686936278141
59945 36930.0	-1114.153407361015 386.4839478007955 7086.438770400955 4.313979328894357 6.055808354585287 0.34476046986483366
59945 36940.0	-1070.8759295939637 447.1291359720947 7089.510291400894 4.325734287814403 6.0513279463199385 0.26841470536067646
59945 36950.0	-1027.4835492851446 507.7257000867644 7091.816776073861 4.337022541354143 6.04619458147983 0.19203962603385927
59945 36960.0	-983.9809641606125 568.2670829757474 7093.357985531336 4.347842875991372 6.040408811203336 0.11564346100830747
59945 36970.0	-940.3728837464259 628.7467336627656 7094.133764086328 4.358194128622733 6.033971256915666 0.039234441646371465
59945 36980.0	-896.664028889604 689.158108029334 7094.144039264281 4.3680751866793 6.026882610267147 -0.037179199271123675
59945 36990.0	-852.859131193881 749.494669595502 7093.388821806535 4.377484988256791 6.0191436330518995 -0.11358922851225195
59945 37000.0	-808.9629325538144 809.7498901620443 7091.868205664014 4.386422522217593 6.010755157134648 -0.18998741318736512
59945 37010.0	-764.9801845920394 869.9172505839315 7089.582367981407 4.394886828308774 6.001718084354278 -0.2663655217098202
59945 37020.0	-720.9156481568702 929.9902414580138 7086.531569072471 4.4028769972610515 5.9920333864301245 -0.3427153246493786
59945 37030.0	-676.7740927920172 989.9623638465778 7082.716152385493 4.410392170887937 5.981702104855907 -0.419028595632319
59945 37040.0	-632.5602962325033 1049.8271299628054 7078.136544461717 4.417431542174731 5.970725350792385 -0.49529711219435635
59945 37050.0	-588.2790438377992 1109.5780639388718 7072.793254878514 4.423994355372109 5.959104304937485 -0.5715126567400755
59945 37060.0	-543.9351281209754 1169.208702461502 7066.686876193076 4.430079906068598 5.94684021741276 -0.6476670173348458
59945 37070.0	-499.533348176421 1228.7125955422625 7059.818083865978 4.435687541273342 5.933934407616963 -0.7237519886697208
59945 37080.0	-455.0785091922471 1288.0833071712138 7052.1876361861505 4.4408166594808005 5.920388264094866 -0.7997593728788552
59945 37090.0	-410.57542187656213 1347.3144160835989 7043.796374173715 4.44546671074097 5.906203244373988 -0.8756809805027372
59945 37100.0	-366.02890198446335 1406.3995163894583 7034.645221490547 4.449637196712046 5.891380874824421 -0.9515086312773131
59945 37110.0	-321.44376974712077 1465.3322183314644 7024.735184324668 4.453327670718638 5.875922750481308 -1.0272341550886557
