CIC_OEM_VERS 	= 2.0
CREATION_DATE  	= 2023-06-06T17:32:35Z
ORIGINATOR     	= e.NOVA

META_START

OBJECT_NAME 	= ['THOR', 'AGENA', 'D', 'RB']
OBJECT_ID 	= ['THOR', 'AGENA', 'D', 'RB']

CENTER_NAME 	= EARTH
REF_FRAME   	= EME2000
TIME_SYSTEM 	= UTC

META_STOP

59945 36490.0	-1881.0327519083676 974.371698316058 6826.597978494428 -3.569222717269693 6.2979689104754115 -1.8613227813981372
59945 36500.0	-1916.4538978930873 1036.991883793134 6807.705362443507 -3.5486106867349294 6.287037055544367 -1.935374453228376
59945 36510.0	-1951.6701239844804 1099.503350955852 6788.075713615009 -3.5276155741335664 6.275425946496622 -2.0092148144872484
59945 36520.0	-1986.6776186258153 1161.8993574360866 6767.711083917537 -3.5062396503656297 6.263136842400248 -2.0828358683087482
59945 36530.0	-2021.472591936104 1224.1731720796997 6746.6136043807 -3.4844852275856235 6.250171075744315 -2.156229641551939
59945 36540.0	-2056.0512761441223 1286.318075707924 6724.785484942133 -3.462354658937497 6.236530052285819 -2.229388185715945
59945 36550.0	-2090.4099259716018 1348.3273617908112 6702.229014255184 -3.4398503383153054 6.222215250906334 -2.302303577749439
59945 36560.0	-2124.5448190628854 1410.1943372068786 6678.946559458249 -3.4169747000887734 6.20722822344215 -2.374967920959867
59945 36570.0	-2158.452256364288 1471.912322915045 6654.940565966803 -3.393730218855723 6.191570594526032 -2.4473733458176707
59945 36580.0	-2192.1285625491946 1533.4746547121981 6630.213557225068 -3.3701194091583906 6.175244061400631 -2.519512010859338
59945 36590.0	-2225.570086393424 1594.8746839033834 6604.768134482463 -3.34614482522763 6.158250393745467 -2.591376103486032
59945 36600.0	-2258.773201195601 1656.1057780570222 6578.606976527641 -3.321809060690108 6.140591433473682 -2.662957840860106
59945 36610.0	-2291.734305148358 1717.1613216730211 6551.732839449352 -3.297114748304471 6.122269094544275 -2.7342494706977685
59945 36620.0	-2324.449821753785 1778.0347169353004 6524.148556352981 -3.272064559659537 6.1032853627423105 -2.8052432721586467
59945 36630.0	-2356.916200190298 1838.7193843776026 6495.857037105852 -3.246661204902475 6.083642295476522 -2.875931556632159
59945 36640.0	-2389.129915723005 1899.2087636330423 6466.861268036273 -3.2209074324281324 6.063342021543045 -2.94630666861979
59945 36650.0	-2421.0874700660743 1959.4963140972457 6437.1643116634095 -3.1948060285994284 6.042386740908446 -3.016360986514763
59945 36660.0	-2452.785391787812 2019.575515674636 6406.769306378898 -3.1683598174278895 6.020778724457129 -3.086086923476636
59945 36670.0	-2484.22023667114 2079.439869443927 6375.679466158555 -3.141571660284004 5.998520313757898 -3.1554769282100743
59945 36680.0	-2515.3885880995217 2139.082898374665 6343.8980802404 -3.114444455580908 5.975613920804983 -3.224523485801114
59945 36690.0	-2546.2870574399108 2198.49814804171 6311.428512793424 -3.086981138453555 5.9520620277504035 -3.293219118549004
